prog_id,session_id,NavigationEvent,ActivityEvent,CompletionEvent,FindEvent,DocumentEvent,SystemEvent,SolutionEvent,BuildEvent,IDEStateEvent,WindowEvent,TestRunEvent,CommandEvent,VersionControlEvent,EditEvent,DebuggerEvent
0,14620d51-4cc0-4d48-997f-294b75eb3708,0,4,0,0,0,0,0,0,2,13,0,9,0,0,0
0,45d06f62-c6aa-45fa-af11-505cfe0e1930,0,9,0,0,0,10,102,1,1,15,0,4362,2,16,0
0,56e25082-e9b2-4b19-9a30-f2c430310084,0,3,0,0,0,0,0,0,2,8,0,14,0,1,0
0,16af990a-c435-4af0-a158-a4fdb4fe727e,0,4,0,0,0,0,0,0,2,19,0,13,0,0,0
0,f4256a24-1cd0-4cd3-8cc7-ae67daf82a2e,0,2,0,0,0,0,0,0,2,10,0,54,0,0,0
0,e2fbb5df-72af-4bc3-b0fe-6870ada6116a,0,7,0,0,0,4,0,0,2,36,0,235,0,0,0
0,4400804f-5be9-4b65-a979-56643fcbca2c,0,9,0,0,0,0,1,0,2,18,0,68,0,1,0
0,c73ca1be-fa79-4706-8be2-e135877e5586,0,0,0,0,0,0,0,0,2,2,0,10,0,0,0
0,e3b8ed0b-8e7d-4e40-96bf-983b15358831,1,4,0,0,4,0,6,1,2,9,0,395,1,8,0
0,a7003aaa-6443-4d35-95c4-63b82155594d,0,47,0,0,29,2,5,0,2,115,0,727,0,1,0
0,309456e3-29dd-498d-b922-ed2d816533e8,0,6,0,0,0,10,0,0,2,10,0,803,0,0,0
0,77fa3202-a57a-45a1-9e8a-39d99e25592e,0,69,0,0,16,26,137,1,2,173,0,4275,1,9,2
0,8ae87b46-d67c-40b0-ad92-6733fa163ca7,3,16,0,0,3,6,141,0,2,31,0,3363,2,568,2
0,0fbc69d1-0eef-4c5f-b631-2d3534d3abc3,0,5,0,0,0,0,0,0,2,7,0,8,0,0,0
0,36b3d5c7-4b1e-44f8-82a9-f3bfc9db91c8,2,1269,0,0,64,0,134,6,2,288,2,2237,5,153,2
0,604331dd-5086-4344-9ebd-7f464d065131,0,5,0,0,0,2,0,0,2,29,0,119,0,0,0
0,72b10e3f-6d3d-41af-9b62-cf51a3e16ede,0,0,0,0,0,0,0,0,2,2,0,3,0,0,0
0,89bec1cb-7be3-43c5-b719-e526a4c72359,6,35,0,0,11,2,134,0,2,48,0,289,1,5,0
0,ac28aa1d-2d66-4244-86e0-cb9a38159244,7,35,0,0,17,8,89,0,2,75,0,2686,0,3,0
0,3fd42ab9-a793-4495-9ef1-972d9677fe48,0,1,0,0,3,2,134,0,2,12,0,132,1,2,0
0,2638423b-322b-4b34-b86d-c372dcb2b287,0,0,0,0,0,0,0,0,2,2,0,1,0,1,0
0,2dad115f-fada-47c7-88ab-a6dc1dc6231a,0,32,0,0,8,4,28,1,2,73,0,753,0,5,0
0,7639de18-b8d5-4593-88f5-8d8f4f700719,9,80,12,0,11,0,1,7,2,66,0,1144,1,113,30
0,14652432-102a-4db7-86b7-4410775fe61e,0,2,0,0,0,0,0,0,2,1,0,14,0,0,0
0,55b2caec-d1a3-47c9-9e86-e95dcf52ae6b,0,3,0,0,0,0,2,1,2,4,0,18,0,3,0
0,6127f015-2e67-4db7-aadf-679b0de1ebd6,47,163,20,0,44,10,135,5,2,226,3,8554,5,172,56
0,ad9674e6-a138-43a3-a956-d9401597e7c1,0,3,0,0,0,0,0,0,2,12,0,6,0,0,0
0,35e7ed21-6c0a-404f-a8da-6cef06dd9b26,0,1,0,0,0,2,2,0,2,10,0,138,0,7,0
0,e39e741e-3ada-4561-a504-c6a4ab3e35ba,3,28,0,0,24,0,10,1,2,109,0,171,0,4,22
0,da2fee65-853c-4f77-a0b9-e9a79be9ecd9,0,3,0,0,11,2,140,0,2,32,0,1542,1,2,0
