prog_id,session_id,NavigationEvent,ActivityEvent,CompletionEvent,FindEvent,DocumentEvent,SystemEvent,SolutionEvent,BuildEvent,IDEStateEvent,WindowEvent,TestRunEvent,CommandEvent,VersionControlEvent,EditEvent,DebuggerEvent
0,45d06f62-c6aa-45fa-af11-505cfe0e1930,0,9,0,0,0,10,102,1,1,15,0,4362,2,16,0
0,a7003aaa-6443-4d35-95c4-63b82155594d,0,47,0,0,29,2,5,0,2,115,0,727,0,1,0
0,309456e3-29dd-498d-b922-ed2d816533e8,0,6,0,0,0,10,0,0,2,10,0,803,0,0,0
0,77fa3202-a57a-45a1-9e8a-39d99e25592e,0,69,0,0,16,26,137,1,2,173,0,4275,1,9,2
0,8ae87b46-d67c-40b0-ad92-6733fa163ca7,3,16,0,0,3,6,141,0,2,31,0,3363,2,568,2
0,36b3d5c7-4b1e-44f8-82a9-f3bfc9db91c8,2,1269,0,0,64,0,134,6,2,288,2,2237,5,153,2
0,89bec1cb-7be3-43c5-b719-e526a4c72359,6,35,0,0,11,2,134,0,2,48,0,289,1,5,0
0,ac28aa1d-2d66-4244-86e0-cb9a38159244,7,35,0,0,17,8,89,0,2,75,0,2686,0,3,0
0,2dad115f-fada-47c7-88ab-a6dc1dc6231a,0,32,0,0,8,4,28,1,2,73,0,753,0,5,0
0,7639de18-b8d5-4593-88f5-8d8f4f700719,9,80,12,0,11,0,1,7,2,66,0,1144,1,113,30
0,6127f015-2e67-4db7-aadf-679b0de1ebd6,47,163,20,0,44,10,135,5,2,226,3,8554,5,172,56
0,da2fee65-853c-4f77-a0b9-e9a79be9ecd9,0,3,0,0,11,2,140,0,2,32,0,1542,1,2,0
0,86acce83-7bec-4f5b-b98b-2b40e9b0a5d1,5,21,0,0,6,0,138,0,2,22,0,1529,1,1,0
0,0e914c68-e1fb-4dc5-a234-be68791c41f3,0,27,0,0,0,4,275,0,1,11,0,2724,3,6,0
0,f05dbe66-8faa-4dc1-8635-55cb1010dd52,6,245,0,0,66,4,275,8,2,473,5,4178,11,132,0
0,cf20b71e-d8b8-46c7-af24-cc8f94d44d03,1,6,0,0,10,4,90,0,1,25,0,2862,0,1,0
0,19fe5661-9ecc-48e2-aede-2492f85154bc,0,39,0,0,69,0,3,0,2,187,0,306,0,1,0
0,56fde61a-dc60-4ca6-9c9c-3fc1c22fad35,164,180,329,0,32,4,27,12,2,276,0,5065,0,333,124
0,c33463ea-8592-45d3-a821-8e194f15bfd1,3,24,0,0,12,2,274,0,1,47,0,2538,2,6,0
0,f2d01c7c-5ef3-471f-8344-a136c22a1932,2,113,0,0,52,4,142,0,1,115,0,4263,1,157,0
0,3c346752-38b4-4c86-aa6d-922f81bb8f0b,15,76,0,2,28,8,91,1,2,155,1,2057,0,17,0
0,a97436aa-944d-40e3-ba65-faa736afd0d2,2,28,0,0,10,0,90,0,2,28,0,929,0,1,0
0,b4ce04a9-4a0d-4678-866b-0191aea46ce3,0,34,0,0,52,12,5,0,2,155,0,3297,0,2,0
0,619016f5-d429-4190-9837-c90772e5224c,15,128,0,4,67,6,272,1,2,206,1,2159,3,25,0
0,63138f70-25dd-4d75-9d35-7dff6b8f2212,0,29,0,0,2,0,136,0,2,16,0,1914,1,2,0
0,8a58b62b-e259-4218-a70e-17285d49cfc6,26,62,0,0,8,4,276,0,2,62,0,2806,3,4,0
0,d3b76aa2-57ba-48b6-ae9a-2bdb8385ee1d,2,20,0,0,6,0,142,1,2,23,0,1338,1,18,0
1,e57d365c-6a98-42cb-a58f-d5be7a5ce79b,777,568,532,0,401,0,16,0,2,741,79,5103,4,979,147
1,7b01b2fb-4073-4f71-bb4b-563ca2e5f49d,741,643,417,0,372,20,7,1,1,875,7,5041,10,959,51
1,8ed1932b-0599-4aff-8139-3da19197f106,658,407,341,6,528,4,16,0,2,899,0,2886,3,486,0
1,5a4bf66f-46da-4d8d-be83-3e4c01d44e54,1382,834,832,0,835,2,1,0,1,1507,52,10857,8,1656,14
1,946d967e-da5f-43e8-afae-a1bb0bcacf8e,687,797,437,0,392,4,5,0,2,1273,43,5536,7,2770,563
1,4105aeae-bea6-4dff-a739-bbc638375ab4,39,165,16,0,180,0,10,0,2,605,7,680,8,62,2
1,3fdb64d9-5b00-4e75-9a03-f427f1137aaa,92,211,33,0,137,6,16,3,2,441,4,1232,7,91,24
1,d14cc78b-2984-42be-a884-1a6c9bf931bf,1353,695,536,1,640,0,4,0,2,1034,52,6615,12,941,62
1,5447d9d8-596b-46a5-bd5d-fa1913821620,405,299,282,0,169,1,3,0,1,339,20,2365,3,325,65
1,a50396b7-4311-4252-a025-3740ca1d2ce0,247,332,191,0,255,0,8,0,2,548,17,2661,6,353,195
1,d63c0fdb-5116-4da5-a0f2-c9d4c4626563,512,404,206,0,538,6,10,0,1,862,19,2608,12,390,20
1,785a15e8-d6d3-442d-bfee-be030ab88515,113,80,95,0,65,0,16,0,2,140,4,563,3,76,0
1,1a4ab127-4c9c-4f68-8332-70a63c45ba35,241,163,186,0,169,0,12,0,2,289,8,1344,5,159,5
1,565dba72-d525-4864-9bf4-ac7b225de74a,83,81,56,0,35,2,5,0,2,95,6,419,0,68,0
1,0972e52b-51ab-4eef-86c3-3f1e4d0d31d4,111,94,42,0,66,0,2,0,2,193,11,409,3,59,3
