prog_id,session_id,Edit event less than 5 changes,Solution add project,Window event move,Version control event,Debugger exception not handles,System event remote disconnect,Solution remove project,Document saved,IDE state shutdown,Document opened,Edit event 5 to 9 changes,Navigation event keyboard,Build event build,Test run event,System event lock,Completion Event,Debugger design,Edit event 10 or more changes,Debugger run,Solution close solution,Solution rename project,Find complete,Window event activate,Build event rebuild all,System event resume,Solution add project item,Document close,Build event clean,Activity Event,System event remote connect,System event unlock,Debugger break,Find cancelled,Solution add solution item,Window event deactivate,Solution open solution,Solution remove solution item,System event suspend,Window event close,Debugger exception thrown,Navigation event ctrl click,Solution rename project item,Window event create,Solution rename solution,Build event unknown,Comand event,Navigation event click,IDE state startup
0,14620d51-4cc0-4d48-997f-294b75eb3708,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,1
0,45d06f62-c6aa-45fa-af11-505cfe0e1930,8,50,14,2,0,0,1,0,0,0,3,0,0,0,5,0,0,5,0,1,0,0,1,1,0,0,0,0,9,0,5,0,0,48,0,1,1,0,0,0,0,0,0,0,0,4362,0,1
0,56e25082-e9b2-4b19-9a30-f2c430310084,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,1
0,16af990a-c435-4af0-a158-a4fdb4fe727e,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,0,1
0,f4256a24-1cd0-4cd3-8cc7-ae67daf82a2e,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,1
0,e2fbb5df-72af-4bc3-b0fe-6870ada6116a,0,0,24,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,235,0,1
0,4400804f-5be9-4b65-a979-56643fcbca2c,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,68,0,1
0,c73ca1be-fa79-4706-8be2-e135877e5586,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1
0,e3b8ed0b-8e7d-4e40-96bf-983b15358831,6,3,5,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,4,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,395,0,1
0,a7003aaa-6443-4d35-95c4-63b82155594d,1,0,42,0,0,0,0,4,1,20,0,0,0,0,1,0,0,0,0,1,0,0,26,0,0,1,5,0,47,0,1,0,0,1,6,1,0,0,21,0,0,1,20,0,0,727,0,1
