prog_id,session_id,Edit event less than 5 changes,Solution add project,Window event move,Version control event,Debugger exception not handles,System event remote disconnect,Solution remove project,Document saved,IDE state shutdown,Document opened,Edit event 5 to 9 changes,Navigation event keyboard,Build event build,Test run event,System event lock,Completion Event,Debugger design,Edit event 10 or more changes,Debugger run,Solution close solution,Solution rename project,Find complete,Window event activate,Build event rebuild all,System event resume,Solution add project item,Document close,Build event clean,Activity Event,System event remote connect,System event unlock,Debugger break,Find cancelled,Solution add solution item,Window event deactivate,Solution open solution,Solution remove solution item,System event suspend,Window event close,Debugger exception thrown,Navigation event ctrl click,Solution rename project item,Window event create,Solution rename solution,Build event unknown,Comand event,Navigation event click,IDE state startup
0,45d06f62-c6aa-45fa-af11-505cfe0e1930,8,50,14,2,0,0,1,0,0,0,3,0,0,0,5,0,0,5,0,1,0,0,1,1,0,0,0,0,9,0,5,0,0,48,0,1,1,0,0,0,0,0,0,0,0,4362,0,1
0,a7003aaa-6443-4d35-95c4-63b82155594d,1,0,42,0,0,0,0,4,1,20,0,0,0,0,1,0,0,0,0,1,0,0,26,0,0,1,5,0,47,0,1,0,0,1,6,1,0,0,21,0,0,1,20,0,0,727,0,1
0,309456e3-29dd-498d-b922-ed2d816533e8,0,0,5,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,803,0,1
0,77fa3202-a57a-45a1-9e8a-39d99e25592e,9,48,142,1,0,0,0,2,1,3,0,0,1,0,13,0,1,0,1,2,0,0,24,0,0,0,11,0,69,0,13,0,0,85,0,2,0,0,4,0,0,0,3,0,0,4275,0,1
0,8ae87b46-d67c-40b0-ad92-6733fa163ca7,566,52,25,2,0,0,0,0,1,1,2,3,0,0,3,0,1,0,1,2,0,0,3,0,0,0,2,0,16,0,3,0,0,85,0,2,0,0,2,0,0,0,1,0,0,3363,0,1
0,36b3d5c7-4b1e-44f8-82a9-f3bfc9db91c8,52,47,83,5,0,0,0,12,1,16,49,0,6,2,0,0,1,52,1,1,0,0,116,0,0,0,36,0,1269,0,0,0,0,85,35,1,0,0,37,0,0,0,17,0,0,2237,2,1
0,89bec1cb-7be3-43c5-b719-e526a4c72359,5,47,15,1,0,0,0,0,1,4,0,1,0,0,1,0,0,0,0,1,0,0,15,0,0,0,7,0,35,0,1,0,0,85,7,1,0,0,7,0,0,0,4,0,0,289,5,1
0,ac28aa1d-2d66-4244-86e0-cb9a38159244,3,44,36,0,0,0,0,0,1,8,0,4,0,0,4,0,0,0,0,1,0,0,22,0,0,1,9,0,35,0,4,0,0,42,0,1,0,0,9,0,0,0,8,0,0,2686,3,1
0,2dad115f-fada-47c7-88ab-a6dc1dc6231a,3,25,32,0,0,0,0,0,1,4,0,0,1,0,2,0,0,2,0,1,0,0,25,0,0,0,4,0,32,0,2,0,0,1,6,1,0,0,5,0,0,0,5,0,0,753,0,1
0,7639de18-b8d5-4593-88f5-8d8f4f700719,81,0,52,1,0,0,0,5,1,2,23,5,7,0,0,12,6,9,15,1,0,0,10,0,0,0,4,0,80,0,0,9,0,0,0,0,0,0,2,0,0,0,2,0,0,1144,4,1
0,6127f015-2e67-4db7-aadf-679b0de1ebd6,81,47,89,5,0,0,0,11,1,9,61,25,5,3,5,20,3,30,28,1,0,0,77,0,0,1,24,0,163,0,5,25,0,85,27,1,0,0,24,0,0,0,9,0,0,8554,22,1
0,da2fee65-853c-4f77-a0b9-e9a79be9ecd9,2,50,16,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,4,10,0,3,0,1,0,0,84,0,1,0,0,10,0,0,0,1,0,0,1542,0,1
0,86acce83-7bec-4f5b-b98b-2b40e9b0a5d1,1,51,10,1,0,0,0,0,1,3,0,4,0,0,0,0,0,0,0,1,0,0,6,0,0,0,3,0,21,0,0,0,0,85,0,1,0,0,3,0,0,0,3,0,0,1529,1,1
0,0e914c68-e1fb-4dc5-a234-be68791c41f3,6,102,9,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,27,0,2,0,0,170,0,2,0,0,0,0,0,0,0,0,0,2724,0,1
0,f05dbe66-8faa-4dc1-8635-55cb1010dd52,80,103,136,11,0,0,13,13,1,25,32,0,6,5,2,0,0,20,0,2,0,0,229,1,0,3,28,1,245,0,2,0,0,152,47,2,0,0,32,0,0,0,29,0,0,4178,6,1
0,cf20b71e-d8b8-46c7-af24-cc8f94d44d03,1,45,11,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,4,0,0,0,10,0,6,0,2,0,0,43,0,1,0,0,10,0,0,0,0,0,0,2862,0,1
0,19fe5661-9ecc-48e2-aede-2492f85154bc,1,1,28,0,0,0,0,1,1,59,0,0,0,0,0,0,0,0,0,1,0,0,27,0,0,0,9,0,39,0,0,0,0,0,14,1,0,0,59,0,0,0,59,0,0,306,0,1
0,56fde61a-dc60-4ca6-9c9c-3fc1c22fad35,152,25,113,0,0,0,0,16,1,4,136,145,12,0,2,329,13,45,58,1,0,0,100,0,0,0,12,0,180,0,2,53,0,0,47,1,0,0,12,0,0,0,4,0,0,5065,19,1
0,c33463ea-8592-45d3-a821-8e194f15bfd1,6,100,23,2,0,0,0,0,0,7,0,2,0,0,1,0,0,0,0,1,0,0,12,0,0,3,5,0,24,0,1,0,0,168,0,2,0,0,5,0,0,0,7,0,0,2538,1,1
0,f2d01c7c-5ef3-471f-8344-a136c22a1932,70,50,50,1,0,0,0,29,0,11,71,1,0,0,2,0,0,16,0,1,0,0,42,0,0,6,12,0,113,0,2,0,0,84,0,1,0,0,12,0,0,0,11,0,0,4263,1,1
0,3c346752-38b4-4c86-aa6d-922f81bb8f0b,10,45,58,0,0,0,0,1,1,13,4,1,1,1,4,0,0,3,0,1,0,2,57,0,0,1,14,0,76,0,4,0,0,43,13,1,0,0,14,0,0,0,13,0,0,2057,14,1
0,a97436aa-944d-40e3-ba65-faa736afd0d2,1,45,13,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,5,0,0,0,10,0,28,0,0,0,0,43,0,1,0,0,10,0,0,0,0,0,0,929,0,1
0,b4ce04a9-4a0d-4678-866b-0191aea46ce3,2,1,31,0,0,0,0,0,1,39,0,0,0,0,6,0,0,0,0,1,0,0,32,0,0,2,13,0,34,0,6,0,0,0,10,1,0,0,41,0,0,0,41,0,0,3297,0,1
0,619016f5-d429-4190-9837-c90772e5224c,13,95,67,3,0,0,0,1,1,29,9,7,1,1,3,0,0,3,0,2,0,4,63,0,0,0,37,0,128,0,3,0,0,173,10,2,0,0,37,0,0,0,29,0,0,2159,8,1
0,63138f70-25dd-4d75-9d35-7dff6b8f2212,2,50,9,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,29,0,0,0,0,84,0,1,0,0,1,0,0,0,1,0,0,1914,0,1
0,8a58b62b-e259-4218-a70e-17285d49cfc6,4,102,28,3,0,0,0,0,1,4,0,19,0,0,2,0,0,0,0,2,0,0,26,0,0,0,4,0,62,0,2,0,0,170,0,2,0,0,4,0,0,0,4,0,0,2806,7,1
0,d3b76aa2-57ba-48b6-ae9a-2bdb8385ee1d,8,53,9,1,0,0,0,0,1,3,3,0,0,0,0,0,0,7,0,1,0,0,8,1,0,0,3,0,20,0,0,0,0,87,0,1,0,0,3,0,0,0,3,0,0,1338,2,1
1,e57d365c-6a98-42cb-a58f-d5be7a5ce79b,374,12,199,4,0,0,0,264,1,52,466,601,0,79,0,532,16,139,66,1,0,0,383,0,0,2,85,0,568,0,0,65,0,0,31,1,0,0,76,0,18,0,52,0,0,5103,158,1
1,7b01b2fb-4073-4f71-bb4b-563ca2e5f49d,370,0,259,10,2,10,0,251,0,30,450,527,1,7,0,417,11,139,22,3,0,0,374,0,0,0,91,0,643,10,0,16,0,0,106,4,0,0,98,0,23,0,38,0,0,5041,191,1
